2009-08-29,2009-09-05,0.03475
2009-09-05,2009-09-12,0.04060
2009-09-12,2009-09-19,0.04248
2009-09-19,2009-09-26,0.04189
2009-09-26,2009-10-03,0.04869
2009-10-03,2009-10-10,0.06076
2009-10-10,2009-10-17,0.07028
2009-10-17,2009-10-24,0.07688
2009-10-24,2009-10-31,0.07514
2009-11-01,2009-11-07,0.06615
2009-11-07,2009-11-14,0.05194
2009-11-14,2009-11-21,0.04041
2009-11-21,2009-11-28,0.03517
2009-11-28,2009-12-05,0.02731
2009-12-05,2009-12-12,0.02471
2009-12-12,2009-12-19,0.02332
2009-12-19,2009-12-26,0.02577
2009-12-26,2010-01-02,0.02563
2010-01-02,2010-01-09,0.01881
2010-01-09,2010-01-16,0.01848
2010-01-16,2010-01-23,0.01857
2010-01-23,2010-01-30,0.01945
2010-01-30,2010-02-06,0.02064
2010-02-06,2010-02-13,0.02073
2010-02-13,2010-02-20,0.01899
2010-02-20,2010-02-27,0.01937
2010-02-27,2010-03-06,0.01907
2010-03-06,2010-03-13,0.01874
2010-03-13,2010-03-20,0.01749
2010-03-20,2010-03-27,0.01545
2010-03-27,2010-04-03,0.01501
2010-04-03,2010-04-10,0.01218
2010-04-10,2010-04-17,0.01166
2010-04-17,2010-04-24,0.01063
2010-04-24,2010-05-01,0.01078
2010-05-01,2010-05-08,0.01058
